,H,I,O
1971-04-15,336.8843642562846,530.1484729671971,273.95902324310174
1971-04-16,336.9190506222843,609.5541039222653,277.3970300035752
1971-04-17,336.9639374416246,711.2998543077114,269.36647139899554
1971-04-18,337.01807792297336,810.2429479387883,267.7858450656773
1971-04-19,337.07036311298975,843.4965815367169,372.30567790892746
1971-04-20,337.10516082671285,800.2336800687485,425.30259373958904
1971-04-21,337.13201926891236,759.7434226496432,456.30698182659125
1971-04-22,337.1528681599987,722.3517436107938,505.618834899259
1971-04-23,337.1681590483135,699.2294277294018,559.1780270966337
1971-04-24,337.17264056004717,646.1007175106841,545.4501638512372
1971-04-25,337.1795895147961,634.3306808249878,569.8112950751088
1971-04-26,337.1850723298486,632.8833156935921,571.8211538540063
1971-04-27,337.19087186679695,635.4596891328799,571.9764308216967
1971-04-28,337.1946923444524,621.4047398044421,530.8207207109423
1971-04-29,337.196079627569,579.7421519537438,574.1796019549045
1971-04-30,337.20366087887294,626.7765356329592,577.523118053402
1971-05-01,337.2042394543382,601.8676431633954,579.8749421633372
1971-05-02,337.19927343412576,556.1657599809064,580.1413869727594
1971-05-03,337.19707838853446,554.5133949695307,557.1151272664821
1971-05-04,337.1969790687023,554.9033770140352,547.8474732344795
1971-05-05,337.19940859653076,566.7896294264199,547.0316107440003
1971-05-06,337.2026487614504,573.6585947325275,489.2662105267584
1971-05-07,337.2115634752062,582.3844200358493,474.33591362281453
1971-05-08,337.21953627056774,571.5907099285571,470.399700986373
1971-05-09,337.22586259964254,554.2580066079151,472.8394082422417
1971-05-10,337.2360291283602,573.7756794060114,472.9216616850275
1971-05-11,337.2412287844981,549.0739778778086,473.075517520974
1971-05-12,337.23745534911734,479.61174972896504,473.2371799838359
1971-05-13,337.24185246721623,502.5243209987295,426.22321184802325
1971-05-14,337.25348792254823,532.7957268537087,388.3584753879892
1971-05-15,337.26005622687325,491.4497001744408,385.41921753940215
1971-05-16,337.27211782625966,509.19166984297,387.72448252597474
1971-05-17,337.29876889405716,614.3612246819366,390.3756393349342
1971-05-18,337.3143939590484,586.3315905935258,388.29249264239496
1971-05-19,337.33349154909894,596.5519583582726,387.99057805310247
1971-05-20,337.342957797115,537.1012824496432,390.9450486818614
1971-05-21,337.3604928221368,567.3998602743931,390.8946979760469
1971-05-22,337.37678550968167,571.7120247843391,390.9768334339508
1971-05-23,337.4132697205529,707.009179128225,390.5484241712756
1971-05-24,337.46140056231883,839.668226020149,387.77297582067627
1971-05-25,337.4971503651092,816.9057053630991,497.0712016422722
1971-05-26,337.51438791676946,749.164393290935,607.1617927928477
1971-05-27,337.528481795056,759.61168596138,616.1397479477214
1971-05-28,337.5371899956961,735.8656569078648,669.2238101511609
1971-05-29,337.5444976922545,746.0205830423952,686.3907255530862
1971-05-30,337.5551963336228,782.3115250768426,695.9891610311018
1971-05-31,337.56069921685094,768.2645140132009,698.7940401585672
1971-06-01,337.5616960092757,734.17070098762,699.0960214116299
1971-06-02,337.56119224773084,710.1968691167286,697.2555510420083
1971-06-03,337.5583265202749,683.5202606158866,694.3618303118985
1971-06-04,337.56161634121503,711.3162308160905,688.4414526823394
1971-06-05,337.5676471443899,738.5627514251564,703.5200095426061
1971-06-06,337.569436158663,729.7901380287833,702.1566992953279
1971-06-07,337.5764920487729,760.0944850494241,699.1641712415419
1971-06-08,337.5766956209628,726.0256177378074,704.6235312388812
1971-06-09,337.5758932147748,708.0615628380938,702.2798426157414
1971-06-10,337.5776009627224,716.0915882611206,704.7450630761931
1971-06-11,337.575896945367,698.0521682304931,702.2902909198076
1971-06-12,337.58190741956093,740.1087598447345,699.1363248964974
1971-06-13,337.58212319726135,717.5289979701389,699.086478276245
1971-06-14,337.57264689936034,644.2251841748505,701.9991337715487
1971-06-15,337.56884055495885,647.0529643213436,588.3954792428716
1971-06-16,337.57487845427477,649.2820550684824,523.8995388896334
1971-06-17,337.58449703589855,639.2814423623487,521.2765378205211
1971-06-18,337.5867771528064,583.3304330441371,484.5655813659978
1971-06-19,337.6034231875325,635.1053570110982,476.54668232220837
1971-06-20,337.6201234230852,652.7344270745942,478.7355534067391
1971-06-21,337.626875548096,594.8922925593155,468.17696692846096
1971-06-22,337.634236936302,570.0746505185266,482.75475158869773
1971-06-23,337.641971873743,570.6803892620748,494.88656646642426
1971-06-24,337.65268380599514,597.1428899432631,495.8186282020184
1971-06-25,337.65137224539734,529.3672786530846,500.7904646406063
1971-06-26,337.6494607347275,500.0031404919495,501.08000329783243
1971-06-27,337.6551059811018,538.0870068938378,503.62841670418595
1971-06-28,337.6483218178815,471.1887082205728,467.5475779861415
1971-06-29,337.6481835241238,467.4550811564158,454.23310804299615
1971-06-30,337.66040134969853,539.7514507603081,440.0379616230652
1971-07-01,337.6675653000621,528.3659420546492,433.6283989387707
1971-07-02,337.6669689112034,468.66554551188995,428.6706857523262
1971-07-03,337.6625992443368,416.4176493487104,430.0620910643989
1971-07-04,337.6580897409516,394.5045883015748,428.2458553741714
1971-07-05,337.6452419165897,329.3324210092968,428.23721606009923
1971-07-06,337.64514584522124,386.71413007281546,429.66138708949865
1971-07-07,337.65846666639993,497.81335109010297,388.37836130544605
1971-07-08,337.64624538363233,352.10835313755194,372.94245384007985
1971-07-09,337.6381377762773,309.02376108702646,340.15914569615677
1971-07-10,337.649420557358,401.0308842660386,324.13407256030393
1971-07-11,337.65229721676894,374.949815264524,323.18183602822285
1971-07-12,337.66223135498075,410.5191014680414,327.4774964962413
1971-07-13,337.6556074957259,317.8821637852898,323.6835702441237
1971-07-14,337.658863044733,340.59596094306534,280.84177501918964
1971-07-15,337.66631472052,354.3389521249929,270.86407094528005
1971-07-16,337.67992409662855,396.1163856609424,284.59109223550763
1971-07-17,337.6839195696489,357.5503243537941,291.5064782779747
1971-07-18,337.6884376800188,348.75325752137013,291.98782337527047
1971-07-19,337.68709536509476,306.6307068038176,292.13896376925265
1971-07-20,337.68357884031616,274.89126127442216,292.11714000648686
1971-07-21,337.6797554956354,259.70336941092745,292.06030311538854
1971-07-22,337.68073188049596,285.20195618902596,293.7524990818233
1971-07-23,337.67924064779635,280.3650286711723,293.9953065002375
1971-07-24,337.67876065909974,285.1764517730679,293.9836164021287
1971-07-25,337.6697203135103,230.48464714599803,292.34820382043597
1971-07-26,337.66631718536405,244.21003480339405,291.98360462393237
1971-07-27,337.67255310443903,313.50823207775966,293.60050436437325
1971-07-28,337.6688132835194,277.0513853733629,292.25545646794825
1971-07-29,337.6618528232408,239.79464344652564,289.39698324505224
1971-07-30,337.65033588816783,192.84480654770573,291.9376065665388
1971-07-31,337.63737440837775,165.2156169237398,292.08658436676757
1971-08-01,337.6200123159418,124.7622813898277,292.1417036023729
1971-08-02,337.6103093115914,158.75541480412772,293.73109961273923
1971-08-03,337.5995941734503,166.90837182722734,292.1181634428144
1971-08-04,337.5896485287889,173.93701504794447,280.9934875611359
1971-08-05,337.5763334444946,147.02763223004618,249.94185127755617
1971-08-06,337.56858928693345,155.22642527860208,232.5621804821503
1971-08-07,337.56044872107395,146.17070059015253,222.0002875854656
1971-08-08,337.55172985354903,131.39817564079993,191.8181766725328
1971-08-09,337.54768538820474,137.56193644121572,143.41153585765704
1971-08-10,337.5433040487305,111.30005999000267,129.38047145350887
1971-08-11,337.539680768222,97.59228170638359,122.66485682008064
1971-08-12,337.54087577130633,120.19338348157264,122.89676778736347
1971-08-13,337.54617436550933,156.90004910055274,124.70152897338681
1971-08-14,337.5459911823838,136.98460538095583,127.7894072118587
1971-08-15,337.53864217349485,83.92815307060688,145.56434426439006
1971-08-16,337.5353279896907,97.3900201350748,131.2612801571495
1971-08-17,337.5463532492023,190.85037611255703,145.36875410434044
1971-08-18,337.5486152295671,178.43578511324807,131.33086303086506
1971-08-19,337.5492055260684,154.16386329529976,120.11535627740692
1971-08-20,337.54678414125743,118.30346619625317,121.96103243930219
1971-08-21,337.5476106055714,126.14670327550718,126.55111041938753
1971-08-22,337.55692630838064,187.93466079690842,125.84090475923205
1971-08-23,337.5515717652679,116.1298184482335,125.30918949286269
1971-08-24,337.5487012402049,101.99853655691244,114.99592644502644
1971-08-25,337.54562093691874,89.53427951574186,120.53761524881907
1971-08-26,337.54222862274617,84.91538751009323,113.64783787490241
1971-08-27,337.53917821656125,81.31555136334545,108.4858783673501
1971-08-28,337.5331680322728,57.857773740509444,115.44744045657791
1971-08-29,337.53102365044737,77.48980532133848,116.80448039171935
1971-08-30,337.5308893866396,99.82895405988816,120.57371073966246
1971-08-31,337.53127620300654,114.36837982771291,117.25155447095082
1971-09-01,337.5295235809021,103.79957966437418,104.23098372211426
1971-09-02,337.52457210862974,72.25606731256816,122.44599268291103
1971-09-03,337.52682104324083,116.02727516234188,112.73106797868186
1971-09-04,337.54054868425794,205.5574200553172,126.42123565280696
1971-09-05,337.54793017962857,206.8896975425484,104.96086901321938
1971-09-06,337.55020284787594,162.63392964501168,113.38859336257045
1971-09-07,337.5496503688293,129.4101388009969,99.40168280038068
1971-09-08,337.5400166046598,48.70067403820751,110.29499605418322
1971-09-09,337.5356536849979,55.64339134848057,104.50514600173368
1971-09-10,337.53482387507887,79.32172428943014,114.95676664749726
1971-09-11,337.5319222555577,80.87559932558854,112.24294091970526
1971-09-12,337.52903569430765,80.1573061922913,112.02277248460402
1971-09-13,337.5192695939767,34.550436876666446,117.65001048994255
1971-09-14,337.5044456092699,-14.602821152975494,120.882250034251
1971-09-15,337.4928859193528,-12.354794609617501,107.2413118905839
1971-09-16,337.49260239446875,55.954797657830284,109.54150334857628
1971-09-17,337.4984971323702,126.37648862940407,110.6435844416605
1971-09-18,337.5014858845871,136.6974821687197,106.35534759831981
1971-09-19,337.4957657394986,81.0974476336638,106.2145926605344
1971-09-20,337.4976492804483,108.24996349973222,105.92777093065115
1971-09-21,337.48968429452185,54.291542579506824,107.08934788128867
1971-09-22,337.48650332966963,64.28179579624836,108.80647496901898
1971-09-23,337.48589880160665,86.42253859843264,109.8262701155885
1971-09-24,337.4862156855549,102.1868954970088,109.01694349936474
1971-09-25,337.48665783640536,109.06222661629087,108.06248389636842
1971-09-26,337.4891867469098,125.42587694278102,112.5313074826118
1971-09-27,337.4922970623306,139.63438968818812,135.8156804955497
1971-09-28,337.49520847355075,155.47069435345995,113.02967699874503
1971-09-29,337.49900074297136,155.44044625348786,108.4221451604124
1971-09-30,337.51807494188563,254.47983120721142,117.78326610242024
1971-10-01,337.55713315196977,432.73759899876563,120.13767846976467
1971-10-02,337.59097964228414,473.3519135131693,119.87657951011957
1971-10-03,337.6002425074325,327.7732394417486,125.05388965400284
1971-10-04,337.5946576280931,173.95247077753484,161.24318877360736
1971-10-05,337.61250470992456,284.419094826343,159.7372042594664
1971-10-06,337.6283250254771,318.23760977051677,203.83783741516737
1971-10-07,337.636580996196,306.61024050661285,219.59854892582987
1971-10-08,337.64251348137077,296.3864989366586,249.315142111294
1971-10-09,337.6408938283408,258.3296154620479,253.73336356140504
1971-10-10,337.63960203193767,246.16704541906998,235.69626372434004
1971-10-11,337.6303540626301,178.72993058665534,232.5342699519976
1971-10-12,337.62892026040697,200.41272174401703,225.56014900436423
1971-10-13,337.6269064807797,202.3244977320166,235.11762949751895
1971-10-14,337.6262629337861,217.13205973057953,232.2123931964013
1971-10-15,337.6287565148063,242.10756667717692,225.5221973868003
1971-10-16,337.63908746446174,300.6559328023967,224.84924474814167
1971-10-17,337.66400119207185,421.27020177511645,230.9991374226066
1971-10-18,337.6839231906278,443.0144481196256,260.24251689876814
1971-10-19,337.69557254434596,411.2946996912434,228.06264467972824
1971-10-20,337.70955815470967,400.3267528216831,304.07710298424576
1971-10-21,337.7180101712292,400.143359258922,310.41970307018045
1971-10-22,337.72447934416965,390.51812604465425,313.73156158099664
1971-10-23,337.7333935662232,402.58815025303,277.2937981966883
1971-10-24,337.7433873416303,394.77018225948405,267.8897430816924
1971-10-25,337.74807270051934,353.2192374035678,302.94022060592
1971-10-26,337.7498266593369,336.68654162366266,328.70042210956274
1971-10-27,337.77176892356687,482.3959479446322,432.0086975468987
1971-10-28,337.7879235139751,564.6671820162496,528.832764937963
1971-10-29,337.82777196007584,810.7192642425825,598.7071263553981
1971-10-30,337.8693711824623,964.2568958263639,651.5983431844297
1971-10-31,337.88650263746547,893.8089620639715,641.20734624481
1971-11-01,337.90946870349006,904.9607301125791,782.974151195212
1971-11-02,337.9177434606226,890.1400306466176,820.6067383158521
1971-11-03,337.91567798085055,836.342997570016,832.138853701522
1971-11-04,337.92351841286,886.2658182513983,842.8388126505653
1971-11-05,337.92631312752303,880.0172525441182,856.7485771914058
1971-11-06,337.9054579899384,730.1985104706778,889.5399133650292
1971-11-07,337.9053400031625,823.9547439009339,912.5520423477434
1971-11-08,337.9144256239374,936.0224506100112,914.4221560397175
1971-11-09,337.90482790105773,859.0120073679386,896.8856584212255
1971-11-10,337.90111488241257,856.7059481538307,897.9141583216899
1971-11-11,337.8933765150804,828.9888134473721,884.343572312973
1971-11-12,337.8888565000921,831.896864549438,891.3478780917894
1971-11-13,337.88538890734435,844.2078441784046,899.233079836944
1971-11-14,337.88462110225356,871.9663399623028,910.8364668815732
1971-11-15,337.86902409577556,791.0318940180713,899.3460880354994
1971-11-16,337.86360967168383,819.0015651901317,905.3487129986651
1971-11-17,337.86727680209776,893.850041726203,905.6966066165517
1971-11-18,337.8675740011546,902.3903558685257,898.6174471011681
1971-11-19,337.86346302931554,872.97757252714,898.1495577882775
1971-11-20,337.8663454545771,906.2014872809132,886.90906736153
1971-11-21,337.8612223246051,861.560430187249,897.2177053030141
1971-11-22,337.85651403860317,851.2200922380175,895.220453568406
1971-11-23,337.8551627344404,868.0507561752529,894.9625652488114
1971-11-24,337.84774325198947,832.8849460104823,858.4701603717843
1971-11-25,337.8460116328619,832.3908884095746,780.1735185071973
1971-11-26,337.8470374136656,811.7394736011502,841.4611616177906
1971-11-27,337.83874350519625,776.8532287414582,890.6234459731903
1971-11-28,337.8326817337353,803.3490553816844,889.0481714256625
1971-11-29,337.8250167654265,803.0210108474181,891.753399646116
1971-11-30,337.8141629781693,779.3930687389766,816.9385224785017
1971-12-01,337.8012306672352,714.3475148598056,786.9800658445554
1971-12-02,337.7927046384256,700.1580545826922,779.7167700844955
1971-12-03,337.7829054878679,681.9530817754797,779.120645244459
1971-12-04,337.77784090131007,705.2446453590793,776.1844514388625
1971-12-05,337.7681322784101,682.4730477682662,773.3428867913271
1971-12-06,337.75851521300933,672.1148087263895,773.0631953825555
1971-12-07,337.7423730535459,624.4005955480472,770.415603674417
1971-12-08,337.72535025034693,597.246460224077,767.3768474304765
1971-12-09,337.71383120213335,620.741357084954,766.9535412062912
1971-12-10,337.70247729120877,631.243290671778,765.1290223791276
1971-12-11,337.6886567035982,618.0230872658659,759.5582262699581
1971-12-12,337.6737765632211,602.4012030869997,756.3504899845741
1971-12-13,337.66004372754645,601.5028260052269,750.5358607898509
1971-12-14,337.65224166523626,636.8241928212241,742.5988684113265
1971-12-15,337.64221587455404,632.4826987623012,742.0646796279781
1971-12-16,337.63062993951695,619.8007227104894,736.5510385264421
1971-12-17,337.61784165072595,602.8278014087709,720.529129104219
1971-12-18,337.60483677959115,586.0198467327393,724.6807030114898
1971-12-19,337.5913778830845,578.433465137554,727.7466866179448
1971-12-20,337.5780457350297,577.4965703509528,722.4853231218868
1971-12-21,337.5612918746319,551.5157348207887,719.3787984334679
1971-12-22,337.5498664776424,574.3014912183468,718.9560615972467
1971-12-23,337.5332440518011,549.3019034746483,721.8276613623509
1971-12-24,337.5126878078116,515.4337479779025,740.4198750147766
1971-12-25,337.4951883638047,531.7638062391395,744.5614081230913
1971-12-26,337.4753154586439,525.4479123532684,752.3128998633738
1971-12-27,337.455803808165,529.3939983641085,752.9292308263211
1971-12-28,337.43979780960683,553.4945626060155,732.7600079140997
1971-12-29,337.4254961891953,563.5989176147923,725.6175693960824
1971-12-30,337.4110452964644,562.6681878799624,719.5583791763491
1971-12-31,337.39774573280425,567.8571105994561,742.847926833384
1972-01-01,337.3806578968675,554.4402443052965,685.3182131821958
1972-01-02,337.36601841493143,533.9419858497961,677.7661103023468
1972-01-03,337.34857674896625,502.20005134160533,664.3445250565004
1972-01-04,337.33406367361175,500.8976773794727,657.620613749723
1972-01-05,337.32154958378226,509.9503898379732,657.0219914439988
1972-01-06,337.3073902385633,502.07805742631905,648.7832053231416
1972-01-07,337.28812365061015,459.2992256447421,622.5573907023834
1972-01-08,337.27317162841354,455.8321047016816,617.4778478139307
1972-01-09,337.2582187256969,451.4184412951513,612.4743189365945
1972-01-10,337.2477470464982,476.61088938726834,613.7882569030085
1972-01-11,337.232158834403,453.2731612730903,601.2345428856789
1972-01-12,337.2190418186898,452.3769776642037,584.5330548704534
1972-01-13,337.19735245509537,384.88438803173534,554.9541749130756
1972-01-14,337.18886076895626,427.8554528913786,544.7763691067458
1972-01-15,337.1721524799726,384.49404823444775,517.6426640117942
1972-01-16,337.15864624231756,371.38516081775475,482.2861047068445
1972-01-17,337.14826092173973,366.032492982507,449.9786766727218
1972-01-18,337.1373419423421,338.78183893264145,367.6407520633672
1972-01-19,337.1334872898498,328.9018264568977,342.3521940696912
1972-01-20,337.1396024965782,377.09106262834905,340.0372277952763
1972-01-21,337.1467346197959,402.5285634182083,339.91858758349224
1972-01-22,337.1490546843656,381.33589481153405,342.81186538223903
1972-01-23,337.1513680277614,373.92896655537703,340.2605614892726
1972-01-24,337.1570976319518,392.0682470412844,339.9615818254246
1972-01-25,337.16118680167284,388.2948714338247,334.51278162144973
1972-01-26,337.1622164717314,363.8571570816504,339.6207763135147
1972-01-27,337.1595741807622,332.2129589419317,340.07334190476723
1972-01-28,337.1559596342841,312.9214534496607,340.0702654828677
1972-01-29,337.15163701699066,300.10631694441884,337.3002171230838
1972-01-30,337.1480799329135,298.50766527207054,339.77877162116965
1972-01-31,337.14486173630826,301.27868516623,337.2239602725832
1972-02-01,337.1419153444532,302.9889453080547,339.76137636256084
1972-02-02,337.13666693053614,289.5642716477931,334.5280562824373
1972-02-03,337.1306745589017,275.9839128308054,328.5929064585174
1972-02-04,337.1290043840702,296.0149861912952,333.4797169089566
1972-02-05,337.1244060311113,287.8724970986773,339.4799371556525
1972-02-06,337.11845762741297,278.6653805201159,337.2386916495533
1972-02-07,337.1123089846131,272.4623485073136,339.7889106630561
1972-02-08,337.1083570133698,285.3613870996727,331.6946179854759
1972-02-09,337.1033338936706,278.6044719033274,318.2554935673168
1972-02-10,337.0999394005817,279.85235263997225,327.1781827911828
1972-02-11,337.0966733650014,286.4485138686956,336.153921679869
1972-02-12,337.0913125393031,280.1681921128759,336.94987616201826
1972-02-13,337.0845642993986,268.8243784407182,337.0334928656288
1972-02-14,337.0781287093195,266.23686599323224,337.0114094744031
1972-02-15,337.07196463274266,266.94781017196203,336.99859470422496
1972-02-16,337.0636822264605,253.23319066235038,337.04545976072956
1972-02-17,337.0568108088069,257.0454475514679,339.7394126788173
1972-02-18,337.05062911270375,264.4929600061279,337.2051162803616
1972-02-19,337.04253622675265,253.72183968565844,339.80127441386276
1972-02-20,337.03799213778154,273.9741075138488,337.16775321669746
1972-02-21,337.03058726592513,262.17707352930216,339.8015486565081
1972-02-22,337.02317995917053,258.55087139111896,337.2471313482144
1972-02-23,337.0213292276977,292.11896027692495,331.4126457572776
1972-02-24,337.01494274721534,273.1841646125354,336.5940860210909
1972-02-25,337.0083268646037,266.6145249720395,336.98777222817347
1972-02-26,336.99976973076804,251.13172853672302,334.30216045319696
1972-02-27,336.99284695999427,254.21646586955896,336.7633704201952
1972-02-28,336.9843886269566,246.38645171425773,331.50963092042184
1972-02-29,336.9777234052365,251.9299918905175,326.4438951937108
1972-03-01,336.9762851451595,286.4262832896229,333.2513193384295
1972-03-02,336.9675219970245,255.82311304304818,331.29061345293405
1972-03-03,336.9594494440561,246.79630275583753,333.80265170614194
1972-03-04,336.9504300712706,238.15129096897186,334.0121702258279
1972-03-05,336.9389738091171,218.57501867212383,334.0660788764261
1972-03-06,336.93345096501054,249.7146711217944,333.9020585902499
1972-03-07,336.9260024881312,249.6558178375315,331.24370988486754
1972-03-08,336.9129237063305,210.98330026894806,331.1489699658533
1972-03-09,336.9020732983286,209.50021602680414,328.2691615712007
1972-03-10,336.89188377316106,211.84500815806138,330.76306050857676
1972-03-11,336.882590280324,220.08221919693077,330.9527435435366
1972-03-12,336.8691791235697,196.37874396687513,331.0748082300508
1972-03-13,336.8563159626742,190.01157752385691,326.44699158961504
1972-03-14,336.84403840007155,189.27175827601033,336.11694638322757
1972-03-15,336.8310148078464,188.9585019127835,331.4304085305004
1972-03-16,336.82336498033743,221.82557305628256,330.9268890970518
1972-03-17,336.81316737272255,218.47027785897734,333.75328317566994
1972-03-18,336.803745108129,223.5859217638302,331.2140296452505
1972-03-19,336.7948042762474,227.51985463793056,331.00488581025184
1972-03-20,336.7813891503883,199.60323852019852,333.8414523811702
1972-03-21,336.76762172936935,187.09612174863892,331.27999357431923
1972-03-22,336.7572197188762,202.7810609065426,330.9713688808484
1972-03-23,336.7459702904476,203.3692583999817,328.2473754340996
1972-03-24,336.7364817988376,213.78577052512622,327.98614038341225
1972-03-25,336.7253320148751,207.1205359220081,330.76925489736595
1972-03-26,336.7133530445193,199.99971967888536,323.6755895862011
1972-03-27,336.700598333859,187.96037741384285,320.3484322124621
1972-03-28,336.6836898144631,154.00767571443157,325.6386066874087
